inc.m.sh,5000000000,18.64,268240343.35
inc.bash,1029900,4.24,242900.94
inc.sql.sh,2035650,4.43,459514.67
inc.wl,8918100,4.43,2013115.12
inc.cs,25006300,4.24,5897712.26
inc.js,38165250,2.76,13827989.13
inc.python,72073400,4.32,16683657.41
inc.rb,124226750,4.38,28362271.69
inc.perl,125779700,5.04,24956289.68
inc.r,134605950,93.43,1440714.44
inc.php,523844600,4.43,118249345.37
inc.f95,1503972850,4.43,339497257.34
inc.cpp,1822196200,4.39,415078861.05
inc.c,1854662600,4.38,423438949.77
inc.p,2190790250,4.43,494535045.15
inc.java,12770594600,4.36,2929035458.72
inc.m.sh,1000000000,7.52,132978723.40
inc.bash,2059800,8.61,239233.45
inc.sql.sh,4071300,8.65,470670.52
inc.wl,17836200,8.77,2033774.23
inc.cs,50012600,8.66,5775127.02
inc.js,76330500,5.55,13753243.24
inc.python,144146800,8.75,16473920.00
inc.rb,248453500,9.55,26016073.30
inc.perl,251559400,10.27,24494586.17
inc.r,13921100,9.84,1414745.93
inc.php,1047689200,8.86,118249345.37
inc.f95,3007945700,8.87,339114509.58
inc.cpp,3644392400,8.69,419377721.52
inc.c,3709325200,8.85,419132790.96
inc.p,4381580500,8.88,493421227.48
inc.java,25541189200,8.69,2939147203.68
inc.m.sh,10000000000,31.84,314070351.76
inc.bash,20598000,86.19,238983.64
inc.sql.sh,40713000,85.95,473682.37
inc.wl,178362000,85.87,2077116.57
inc.cs,500126000,90.93,5500120.97
inc.js,1063305000,122.22,8699926.36
inc.python,1441468000,86.48,16668223.87
inc.rb,2484535000,86.82,28617081.32
inc.perl,2515594000,101.33,24825757.43
inc.r,139211000,97.44,1428684.32
inc.php,10476892000,88.65,118182650.87
inc.f95,30079457000,89.43,336346382.65
inc.cpp,36443924000,88.22,413102743.14
inc.c,37093252000,87.87,422137839.99
inc.p,43815805000,88.72,493866151.94
inc.java,255411892000,87.26,2927021453.13
inc.m.sh,200000000000,545.65,366535324.84
inc.bash,205980000,865.09,238102.39
inc.sql.sh,407130000,866.54,469834.05
inc.wl,1783620000,853.42,2089967.43
inc.js,7633050000,1072.09,7119784.72
inc.python,14414680000,903.16,15960272.82
inc.rb,24845350000,872.16,28487146.85
inc.perl,22155940000,891.77,24844903.96
inc.r,1392110000,979.76,1420868.38
inc.php,104768920000,894.71,117098188.24
inc.f95,300794570000,888.83,338416311.33
inc.cpp,364439240000,888.70,410081287.27
inc.c,370932520000,877.91,422517706.83
inc.p,438158050000,890.30,492146523.64
inc.java,2554118920000,865.30,2951714919.68
inc.cs,5001260000,972.17,5144429.47
inc.m.sh,20000000,6.47,3091190.11
inc.bash,20598,0.09,228866.67
inc.sql.sh,40713,0.10,407130.00
inc.wl,178362,0.30,594540.00
inc.cs,500126,0.09,5556955.56
inc.js,763305,0.08,9541312.50
inc.python,1441468,0.10,14414680.00
inc.rb,2484535,0.14,17746678.57
inc.perl,2215594,0.10,22155940.00
inc.r,139211,0.23,605265.22
inc.php,10476892,0.11,95244472.73
inc.f95,30079457,0.09,334216188.89
inc.cpp,36443924,0.09,404932488.89
inc.c,37093252,0.09,412147244.44
inc.p,43815805,0.09,486842277.78
inc.java,255411892,0.17,1502422894.12
inc.m.sh,40000000,6.41,6240249.61
inc.bash,41196,0.18,228866.67
inc.sql.sh,81426,0.19,428557.89
inc.wl,356724,0.41,870058.54
inc.cs,1000252,0.18,5556955.56
inc.js,1526610,0.13,11743153.85
inc.python,2882936,0.19,15173347.37
inc.rb,4969070,0.24,20704458.33
inc.perl,4431188,0.19,23322042.11
inc.r,278422,0.33,843703.03
inc.php,20953784,0.23,91103408.70
inc.f95,60158914,0.18,334216188.89
inc.cpp,72887848,0.18,404932488.89
inc.c,74186504,0.17,436391200.00
inc.p,87631610,0.18,486842277.78
inc.java,510823784,0.24,2128432433.33
inc.m.sh,60000000,6.65,9022556.39
inc.bash,61794,0.27,228866.67
inc.sql.sh,122139,0.28,436210.71
inc.wl,535086,0.50,1070172.00
inc.cs,1500378,0.29,5173717.24
inc.js,2289915,0.16,14311968.75
inc.python,4324404,0.28,15444300.00
inc.rb,7453605,0.36,20704458.33
inc.perl,6646782,0.28,23738507.14
inc.r,417633,0.43,971239.53
inc.php,31430676,0.31,101389277.42
inc.f95,90238371,0.27,334216188.89
inc.cpp,109331772,0.27,404932488.89
inc.c,111279756,0.27,412147244.44
inc.p,131447415,0.27,486842277.78
inc.java,766235676,0.35,2189244788.57
inc.m.sh,80000000,5.80,13793103.45
inc.bash,82392,0.38,216821.05
inc.sql.sh,162852,0.37,440140.54
inc.wl,713448,0.58,1230082.76
inc.cs,2000504,0.34,5883835.29
inc.js,3053220,0.20,15266100.00
inc.python,5765872,0.41,14063102.44
inc.rb,9938140,0.43,23111953.49
inc.perl,8862376,0.39,22724041.03
inc.r,556844,0.59,943803.39
inc.php,41907568,0.40,104768920.00
inc.f95,120317828,0.36,334216188.89
inc.cpp,145775696,0.36,404932488.89
inc.c,148373008,0.37,401008129.73
inc.p,175263220,0.36,486842277.78
inc.java,1021647568,0.43,2375924576.74
